Transport,route_name,route_link,Date,busname,bustype,departing_time,duration,bp_time,star_rating,price,seats_available
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,10h 30m,07:30,4.6,555,16
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Atmaram Gobus,VE A/C Sleeper (2+1),20:15,12h 30m,08:45,4.6,555,11
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Vip Yellows,A/C Sleeper (2+1),20:30,11h 30m,08:00,4.5,648,14
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,AdIntrCity SmartBus,AC Sleeper (2+1),20:20,11h 20m,07:40,4.1,500,11
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Travels,Bharat Benz A/C Sleeper (2+1),20:15,13h 15m,09:30,4.5,554,24
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Travels,Non A/C Seater / Sleeper (2+1),20:35,11h 10m,07:45,4.4,399,27
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Atmaram Gobus,NON A/C Sleeper (2+1),20:45,10h 15m,07:00,4.3,500,19
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:10,11h 05m,07:15,4.3,350,18
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Ashray Divine,NON A/C Sleeper (1+2),20:15,10h 30m,06:45,4.1,499,12
Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,2024-07-23,Prasanna - Purple Bus,VE A/C Sleeper (2+1),20:30,13h 00m,09:30,4.2,920,16
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Atmaram Gobus,VE A/C Sleeper (2+1),21:15,11h 55m,09:10,4.8,555,25
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Atmaram Gobus,VE A/C Sleeper (2+1),20:17,10h 05m,06:22,4.7,555,13
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,13h 00m,10:00,4.5,499,14
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:30,10h 00m,06:30,4.5,350,12
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Atmaram Travels(M.Dev),A/C Sleeper (2+1),20:45,11h 00m,07:45,4.4,700,26
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Ashray Travels,Non A/C Seater / Sleeper (2+1),20:10,10h 20m,06:30,4.3,333,18
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),20:30,13h 00m,09:30,4.1,740,18
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Laxmi Queen Prime,A/C Sleeper (2+1),20:00,10h 40m,06:30,4.1,599,16
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Amrutyog Travels,A/C Sleeper (2+1),20:10,10h 12m,06:22,4.1,333,11
Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,2024-07-23,Prasanna - Purple Bus,VE A/C Sleeper (2+1),20:50,08h 10m,05:00,4.0,820,11
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,Mascot Travels(M.Dev),A/C Sleeper (2+1),20:10,15h 50m,12:00,4.6,539,16
Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,2024-07-23,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),20:15,13h 20m,09:35,4.3,699,9
